"ACCNUM"	"SYMBOL"	"DESC"
"200006_at"	"NM_007262"	"PARK7"	"parkinson protein 7"
"200007_at"	"NM_003134"	"SRP14"	"signal recognition particle 14kDa (homologous Alu RNA binding protein)"
"200008_s_at"	"D13988"	"GDI2"	"GDP dissociation inhibitor 2"
"200009_at"	"NM_001494"	"GDI2"	"GDP dissociation inhibitor 2"
"200010_at"	"NM_000975"	"RPL11"	"ribosomal protein L11"
"200011_s_at"	"NM_001659"	"ARF3"	"ADP-ribosylation factor 3"
"200012_x_at"	"NM_000982"	"NA"	"NA"
"200013_at"	"NM_000986"	"RPL24"	"ribosomal protein L24"
"200014_s_at"	"NM_004500"	"HNRNPC"	"heterogeneous nuclear ribonucleoprotein C (C1/C2)"
"200015_s_at"	"NM_004404"	"SEPT2"	"septin 2"
"200016_x_at"	"NM_002136"	"NA"	"NA"
"200017_at"	"NM_002954"	"RPS27A"	"ribosomal protein S27a"
"200018_at"	"NM_001017"	"NA"	"NA"
"200019_s_at"	"NM_001997"	"FAU"	"Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed"
"200020_at"	"NM_007375"	"TARDBP"	"TAR DNA binding protein"
"200021_at"	"NM_005507"	"CFL1"	"cofilin 1 (non-muscle)"
"200022_at"	"NM_000979"	"RPL18"	"ribosomal protein L18"
"200023_s_at"	"NM_003754"	"EIF3F"	"eukaryotic translation initiation factor 3, subunit F"
"200024_at"	"NM_001009"	"RPS5"	"ribosomal protein S5"
"200025_s_at"	"NM_000988"	"RPL27"	"ribosomal protein L27"
"200026_at"	"NM_000995"	"RPL34"	"ribosomal protein L34"
"200027_at"	"NM_004539"	"NARS"	"asparaginyl-tRNA synthetase"
"200028_s_at"	"NM_020151"	"STARD7"	"StAR-related lipid transfer (START) domain containing 7"
"200029_at"	"NM_000981"	"RPL19"	"ribosomal protein L19"
"200030_s_at"	"NM_002635"	"SLC25A3"	"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3"
"200031_s_at"	"NM_001015"	"NA"	"NA"
"200032_s_at"	"NM_000661"	"RPL9"	"ribosomal protein L9"
"200033_at"	"NM_004396"	"NA"	"NA"
"200034_s_at"	"NM_000970"	"RPL6"	"ribosomal protein L6"
"200035_at"	"NM_015343"	"CTDNEP1"	"CTD nuclear envelope phosphatase 1"
"200036_s_at"	"NM_007104"	"RPL10A"	"ribosomal protein L10a"
"200037_s_at"	"NM_016587"	"CBX3"	"chromobox homolog 3"
"200038_s_at"	"NM_000985"	"NA"	"NA"
"200039_s_at"	"NM_002794"	"PSMB2"	"proteasome subunit beta 2"
"200040_at"	"NM_006559"	"KHDRBS1"	"KH domain containing, RNA binding, signal transduction associated 1"
"200041_s_at"	"NM_004640"	"NA"	"NA"
"200042_at"	"NM_014306"	"RTCB"	"RNA 2',3'-cyclic phosphate and 5'-OH ligase"
"200043_at"	"NM_004450"	"ERH"	"enhancer of rudimentary homolog (Drosophila)"
"200044_at"	"NM_003769"	"NA"	"NA"
"200045_at"	"NM_001090"	"ABCF1"	"ATP-binding cassette, sub-family F (GCN20), member 1"
"200046_at"	"NM_001344"	"DAD1"	"defender against cell death 1"
"200047_s_at"	"NM_003403"	"YY1"	"YY1 transcription factor"
"200048_s_at"	"NM_006694"	"JTB"	"jumping translocation breakpoint"
"200049_at"	"NM_007067"	"KAT7"	"K(lysine) acetyltransferase 7"
"200050_at"	"NM_007145"	"ZNF146"	"zinc finger protein 146"
"200051_at"	"NM_005146"	"SART1"	"squamous cell carcinoma antigen recognized by T cells 1"
"200052_s_at"	"NM_004515"	"ILF2"	"interleukin enhancer binding factor 2"
"200053_at"	"NM_004890"	"SPAG7"	"sperm associated antigen 7"
"200054_at"	"NM_003904"	"ZPR1"	"ZPR1 zinc finger"
"200055_at"	"NM_006284"	"TAF10"	"TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa"
"200056_s_at"	"NM_006333"	"C1D"	"C1D nuclear receptor corepressor"
"200057_s_at"	"NM_007363"	"NONO"	"non-POU domain containing, octamer-binding"
"200058_s_at"	"BC001417"	"NA"	"NA"
"200059_s_at"	"BC001360"	"RHOA"	"ras homolog family member A"
"200060_s_at"	"BC001659"	"RNPS1"	"RNA binding protein S1, serine-rich domain"
"200061_s_at"	"BC000523"	"RPS24"	"ribosomal protein S24"
"200062_s_at"	"L05095"	"RPL30"	"ribosomal protein L30"
"200063_s_at"	"BC002398"	"NPM1"	"nucleophosmin (nucleolar phosphoprotein B23, numatrin)"
"200064_at"	"AF275719"	"HSP90AB1"	"heat shock protein 90kDa alpha (cytosolic), class B member 1"
"200065_s_at"	"AF052179"	"NA"	"NA"
"200066_at"	"AF182645"	"IK"	"IK cytokine, down-regulator of HLA II"
"200067_x_at"	"AL078596"	"SNX3"	"sorting nexin 3"
"200068_s_at"	"M94859"	"CANX"	"calnexin"
"200069_at"	"AI656011"	"SART3"	"squamous cell carcinoma antigen recognized by T cells 3"
"200070_at"	"BC001393"	"CNPPD1"	"cyclin Pas1/PHO80 domain containing 1"
"200071_at"	"BF224259"	"SMNDC1"	"survival motor neuron domain containing 1"
"200072_s_at"	"AF061832"	"HNRNPM"	"heterogeneous nuclear ribonucleoprotein M"
"200073_s_at"	"M94630"	"HNRNPD"	"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)"
"200074_s_at"	"U16738"	"RPL14"	"ribosomal protein L14"
"200075_s_at"	"BC006249"	"GUK1"	"guanylate kinase 1"
"200076_s_at"	"BC006479"	"KXD1"	"KxDL motif containing 1"
"200077_s_at"	"D87914"	"OAZ1"	"ornithine decarboxylase antizyme 1"
"200078_s_at"	"BC005876"	"ATP6V0B"	"ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b"
"200079_s_at"	"AF285758"	"KARS"	"lysyl-tRNA synthetase"
"200080_s_at"	"AI955655"	"NA"	"NA"
"200081_s_at"	"BE741754"	"RPS6"	"ribosomal protein S6"
"200082_s_at"	"AI805587"	"RPS7"	"ribosomal protein S7"
"200083_at"	"AA621731"	"USP22"	"ubiquitin specific peptidase 22"
"200084_at"	"BE748698"	"C11orf58"	"chromosome 11 open reading frame 58"
"200085_s_at"	"NM_007108"	"TCEB2"	"transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)"
"200086_s_at"	"AA854966"	"COX4I1"	"cytochrome c oxidase subunit IV isoform 1"
"200087_s_at"	"AK024976"	"TMED2"	"transmembrane p24 trafficking protein 2"
"200088_x_at"	"AK026491"	"NA"	"NA"
"200089_s_at"	"AI953886"	"NA"	"NA"
"200090_at"	"BG168896"	"FNTA"	"farnesyltransferase, CAAX box, alpha"
"200091_s_at"	"AA888388"	"RPS25"	"ribosomal protein S25"
"200092_s_at"	"BF216701"	"RPL37"	"ribosomal protein L37"
"200093_s_at"	"N32864"	"HINT1"	"histidine triad nucleotide binding protein 1"
"200094_s_at"	"AI004246"	"EEF2"	"eukaryotic translation elongation factor 2"
"200095_x_at"	"AA320764"	"RPS10"	"ribosomal protein S10"
"200096_s_at"	"AI862255"	"ATP6V0E1"	"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1"
"200097_s_at"	"AI701949"	"HNRNPK"	"heterogeneous nuclear ribonucleoprotein K"
"200098_s_at"	"T33068"	"ANAPC5"	"anaphase promoting complex subunit 5"
"200099_s_at"	"AL356115"	"NA"	"NA"
"200593_s_at"	"BC003621"	"HNRNPU"	"heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)"
"200594_x_at"	"NM_004501"	"HNRNPU"	"heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)"
"200595_s_at"	"NM_003750"	"EIF3A"	"eukaryotic translation initiation factor 3, subunit A"
"200596_s_at"	"BE614908"	"EIF3A"	"eukaryotic translation initiation factor 3, subunit A"
"200597_at"	"AI123320"	"EIF3A"	"eukaryotic translation initiation factor 3, subunit A"
"200598_s_at"	"AI582238"	"NA"	"NA"
"200599_s_at"	"NM_003299"	"NA"	"NA"
"200600_at"	"NM_002444"	"MSN"	"moesin"
"200601_at"	"U48734"	"ACTN4"	"actinin, alpha 4"
"200602_at"	"NM_000484"	"APP"	"amyloid beta (A4) precursor protein"
"200603_at"	"AL050038"	"PRKAR1A"	"protein kinase, cAMP-dependent, regulatory, type I, alpha"
"200604_s_at"	"M18468"	"PRKAR1A"	"protein kinase, cAMP-dependent, regulatory, type I, alpha"
"200605_s_at"	"NM_002734"	"PRKAR1A"	"protein kinase, cAMP-dependent, regulatory, type I, alpha"
"200606_at"	"NM_004415"	"DSP"	"desmoplakin"
"200607_s_at"	"BG289967"	"RAD21"	"RAD21 cohesin complex component"
"200608_s_at"	"NM_006265"	"RAD21"	"RAD21 cohesin complex component"
"200609_s_at"	"NM_017491"	"WDR1"	"WD repeat domain 1"
"200610_s_at"	"NM_005381"	"NCL"	"nucleolin"
"200611_s_at"	"AB010427"	"WDR1"	"WD repeat domain 1"
"200612_s_at"	"NM_001282"	"AP2B1"	"adaptor-related protein complex 2, beta 1 subunit"
"200613_at"	"NM_004068"	"AP2M1"	"adaptor-related protein complex 2, mu 1 subunit"
"200614_at"	"NM_004859"	"CLTC"	"clathrin, heavy chain (Hc)"
"200615_s_at"	"AL567295"	"AP2B1"	"adaptor-related protein complex 2, beta 1 subunit"
"200616_s_at"	"BC000371"	"MLEC"	"malectin"
"200617_at"	"NM_014730"	"MLEC"	"malectin"
"200618_at"	"NM_006148"	"LASP1"	"LIM and SH3 protein 1"
"200619_at"	"NM_006842"	"SF3B2"	"splicing factor 3b, subunit 2, 145kDa"
"200620_at"	"NM_004872"	"TMEM59"	"transmembrane protein 59"
"200621_at"	"NM_004078"	"CSRP1"	"cysteine and glycine-rich protein 1"
"200622_x_at"	"AV685208"	"NA"	"NA"
"200623_s_at"	"NM_005184"	"NA"	"NA"
"200624_s_at"	"AA577695"	"NA"	"NA"
"200625_s_at"	"NM_006367"	"CAP1"	"CAP, adenylate cyclase-associated protein 1 (yeast)"
"200626_s_at"	"NM_018834"	"NA"	"NA"
"200627_at"	"BC003005"	"PTGES3"	"prostaglandin E synthase 3 (cytosolic)"
"200628_s_at"	"M61715"	"WARS"	"tryptophanyl-tRNA synthetase"
"200629_at"	"NM_004184"	"WARS"	"tryptophanyl-tRNA synthetase"
"200630_x_at"	"AV702810"	"NA"	"NA"
"200631_s_at"	"NM_003011"	"NA"	"NA"
"200632_s_at"	"NM_006096"	"NDRG1"	"N-myc downstream regulated 1"
"200633_at"	"NM_018955"	"UBB"	"ubiquitin B"
"200634_at"	"NM_005022"	"PFN1"	"profilin 1"
"200635_s_at"	"AU145351"	"PTPRF"	"protein tyrosine phosphatase, receptor type, F"
"200636_s_at"	"NM_002840"	"PTPRF"	"protein tyrosine phosphatase, receptor type, F"
"200637_s_at"	"AI762627"	"PTPRF"	"protein tyrosine phosphatase, receptor type, F"
"200638_s_at"	"BC003623"	"YWHAZ"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta"
"200639_s_at"	"NM_003406"	"YWHAZ"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta"
"200640_at"	"NM_003406"	"YWHAZ"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta"
"200641_s_at"	"U28964"	"YWHAZ"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta"
"200642_at"	"NM_000454"	"SOD1"	"superoxide dismutase 1, soluble"
"200643_at"	"NM_005336"	"HDLBP"	"high density lipoprotein binding protein"
"200644_at"	"NM_023009"	"MARCKSL1"	"MARCKS-like 1"
"200645_at"	"NM_007278"	"GABARAP"	"GABA(A) receptor-associated protein"
"200646_s_at"	"NM_006184"	"NUCB1"	"nucleobindin 1"
"200647_x_at"	"NM_003752"	"NA"	"NA"
"200648_s_at"	"NM_002065"	"GLUL"	"glutamate-ammonia ligase"
"200649_at"	"BC002356"	"NUCB1"	"nucleobindin 1"
"200650_s_at"	"NM_005566"	"LDHA"	"lactate dehydrogenase A"
"200651_at"	"NM_006098"	"NA"	"NA"
"200652_at"	"NM_003145"	"SSR2"	"signal sequence receptor, beta (translocon-associated protein beta)"
"200653_s_at"	"M27319"	"NA"	"NA"
"200654_at"	"J02783"	"P4HB"	"prolyl 4-hydroxylase, beta polypeptide"
"200655_s_at"	"NM_006888"	"NA"	"NA"
"200656_s_at"	"NM_000918"	"P4HB"	"prolyl 4-hydroxylase, beta polypeptide"
"200657_at"	"NM_001152"	"SLC25A5"	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"
"200658_s_at"	"AL560017"	"PHB"	"prohibitin"
"200659_s_at"	"NM_002634"	"PHB"	"prohibitin"
"200660_at"	"NM_005620"	"S100A11"	"S100 calcium binding protein A11"
"200661_at"	"NM_000308"	"CTSA"	"cathepsin A"
"200662_s_at"	"NM_014765"	"TOMM20"	"translocase of outer mitochondrial membrane 20 homolog (yeast)"
"200663_at"	"NM_001780"	"CD63"	"CD63 molecule"
"200664_s_at"	"BG537255"	"DNAJB1"	"DnaJ (Hsp40) homolog, subfamily B, member 1"
"200665_s_at"	"NM_003118"	"SPARC"	"secreted protein, acidic, cysteine-rich (osteonectin)"
"200666_s_at"	"NM_006145"	"DNAJB1"	"DnaJ (Hsp40) homolog, subfamily B, member 1"
"200667_at"	"BF448062"	"UBE2D3"	"ubiquitin-conjugating enzyme E2D 3"
"200668_s_at"	"BC003395"	"UBE2D3"	"ubiquitin-conjugating enzyme E2D 3"
"200669_s_at"	"NM_003340"	"UBE2D3"	"ubiquitin-conjugating enzyme E2D 3"
"200670_at"	"NM_005080"	"XBP1"	"X-box binding protein 1"
"200671_s_at"	"N92501"	"SPTBN1"	"spectrin, beta, non-erythrocytic 1"
"200672_x_at"	"NM_003128"	"SPTBN1"	"spectrin, beta, non-erythrocytic 1"
"200673_at"	"NM_014713"	"LAPTM4A"	"lysosomal protein transmembrane 4 alpha"
"200674_s_at"	"NM_000994"	"RPL32"	"ribosomal protein L32"
"200675_at"	"NM_004356"	"CD81"	"CD81 molecule"
"200676_s_at"	"NM_003347"	"UBE2L3"	"ubiquitin-conjugating enzyme E2L 3"
"200677_at"	"NM_004339"	"PTTG1IP"	"pituitary tumor-transforming 1 interacting protein"
"200678_x_at"	"NM_002087"	"GRN"	"granulin"
"200679_x_at"	"BE311760"	"HMGB1"	"high mobility group box 1"
"200680_x_at"	"NM_002128"	"HMGB1"	"high mobility group box 1"
"200681_at"	"NM_006708"	"GLO1"	"glyoxalase I"
"200682_s_at"	"BG531983"	"UBE2L3"	"ubiquitin-conjugating enzyme E2L 3"
"200683_s_at"	"BE964689"	"UBE2L3"	"ubiquitin-conjugating enzyme E2L 3"
"200684_s_at"	"AI819709"	"UBE2L3"	"ubiquitin-conjugating enzyme E2L 3"
"200685_at"	"AU146237"	"SRSF11"	"serine/arginine-rich splicing factor 11"
"200686_s_at"	"NM_004768"	"SRSF11"	"serine/arginine-rich splicing factor 11"
"200687_s_at"	"NM_012426"	"SF3B3"	"splicing factor 3b, subunit 3, 130kDa"
"200688_at"	"D13642"	"SF3B3"	"splicing factor 3b, subunit 3, 130kDa"
"200689_x_at"	"NM_001404"	"NA"	"NA"
"200690_at"	"AA927701"	"HSPA9"	"heat shock 70kDa protein 9 (mortalin)"
"200691_s_at"	"BC000478"	"HSPA9"	"heat shock 70kDa protein 9 (mortalin)"
"200692_s_at"	"NM_004134"	"HSPA9"	"heat shock 70kDa protein 9 (mortalin)"
"200693_at"	"NM_006826"	"YWHAQ"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta"
"200694_s_at"	"NM_020414"	"DDX24"	"DEAD (Asp-Glu-Ala-Asp) box helicase 24"
"200695_at"	"NM_014225"	"PPP2R1A"	"protein phosphatase 2, regulatory subunit A, alpha"
"200696_s_at"	"NM_000177"	"GSN"	"gelsolin"
"200697_at"	"NM_000188"	"HK1"	"hexokinase 1"
"200698_at"	"AL542253"	"KDELR2"	"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2"
"200699_at"	"BE962456"	"KDELR2"	"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2"
"200700_s_at"	"NM_006854"	"KDELR2"	"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2"
"200701_at"	"NM_006432"	"NPC2"	"Niemann-Pick disease, type C2"
"200702_s_at"	"BG421209"	"DDX24"	"DEAD (Asp-Glu-Ala-Asp) box helicase 24"
"200703_at"	"NM_003746"	"DYNLL1"	"dynein, light chain, LC8-type 1"
"200704_at"	"AB034747"	"LITAF"	"lipopolysaccharide-induced TNF factor"
"200705_s_at"	"NM_001959"	"NA"	"NA"
"200706_s_at"	"NM_004862"	"LITAF"	"lipopolysaccharide-induced TNF factor"
"200707_at"	"NM_002743"	"PRKCSH"	"protein kinase C substrate 80K-H"
"200708_at"	"NM_002080"	"GOT2"	"glutamic-oxaloacetic transaminase 2, mitochondrial"
"200709_at"	"NM_000801"	"FKBP1A"	"FK506 binding protein 1A, 12kDa"
"200710_at"	"NM_000018"	"ACADVL"	"acyl-CoA dehydrogenase, very long chain"
"200711_s_at"	"NM_003197"	"SKP1"	"S-phase kinase-associated protein 1"
"200712_s_at"	"AI633566"	"MAPRE1"	"microtubule-associated protein, RP/EB family, member 1"
"200713_s_at"	"NM_012325"	"MAPRE1"	"microtubule-associated protein, RP/EB family, member 1"
"200714_x_at"	"NM_006812"	"OS9"	"osteosarcoma amplified 9, endoplasmic reticulum lectin"
"200715_x_at"	"BC000514"	"NA"	"NA"
"200716_x_at"	"NM_012423"	"NA"	"NA"
"200717_x_at"	"NM_000971"	"RPL7"	"ribosomal protein L7"
"200718_s_at"	"AA927664"	"SKP1"	"S-phase kinase-associated protein 1"
"200719_at"	"BE964043"	"SKP1"	"S-phase kinase-associated protein 1"
"200720_s_at"	"AL532341"	"ACTR1A"	"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"
"200721_s_at"	"NM_005736"	"ACTR1A"	"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"
"200722_s_at"	"BG258784"	"CAPRIN1"	"cell cycle associated protein 1"
"200723_s_at"	"NM_005898"	"CAPRIN1"	"cell cycle associated protein 1"
"200724_at"	"BC003358"	"NA"	"NA"
"200725_x_at"	"NM_006013"	"NA"	"NA"
"200726_at"	"NM_002710"	"PPP1CC"	"protein phosphatase 1, catalytic subunit, gamma isozyme"
"200727_s_at"	"AA699583"	"ACTR2"	"ARP2 actin-related protein 2 homolog (yeast)"
"200728_at"	"BE566290"	"ACTR2"	"ARP2 actin-related protein 2 homolog (yeast)"
"200729_s_at"	"NM_005722"	"ACTR2"	"ARP2 actin-related protein 2 homolog (yeast)"
"200730_s_at"	"BF576710"	"PTP4A1"	"protein tyrosine phosphatase type IVA, member 1"
"200731_s_at"	"AW165960"	"PTP4A1"	"protein tyrosine phosphatase type IVA, member 1"
"200732_s_at"	"AL578310"	"PTP4A1"	"protein tyrosine phosphatase type IVA, member 1"
"200733_s_at"	"U48296"	"PTP4A1"	"protein tyrosine phosphatase type IVA, member 1"
"200734_s_at"	"BG341906"	"ARF3"	"ADP-ribosylation factor 3"
"200735_x_at"	"NM_005594"	"NACA"	"nascent polypeptide-associated complex alpha subunit"
"200736_s_at"	"NM_000581"	"GPX1"	"glutathione peroxidase 1"
"200737_at"	"NM_000291"	"PGK1"	"phosphoglycerate kinase 1"
"200738_s_at"	"NM_000291"	"PGK1"	"phosphoglycerate kinase 1"
"200739_s_at"	"BG338532"	"SUMO3"	"small ubiquitin-like modifier 3"
"200740_s_at"	"NM_006936"	"SUMO3"	"small ubiquitin-like modifier 3"
"200741_s_at"	"NM_001030"	"RPS27"	"ribosomal protein S27"
"200742_s_at"	"BG231932"	"TPP1"	"tripeptidyl peptidase I"
"200743_s_at"	"NM_000391"	"TPP1"	"tripeptidyl peptidase I"
"200744_s_at"	"AI741124"	"GNB1"	"guanine nucleotide binding protein (G protein), beta polypeptide 1"
"200745_s_at"	"AF070603"	"GNB1"	"guanine nucleotide binding protein (G protein), beta polypeptide 1"
"200746_s_at"	"NM_002074"	"GNB1"	"guanine nucleotide binding protein (G protein), beta polypeptide 1"
"200747_s_at"	"NM_006185"	"NUMA1"	"nuclear mitotic apparatus protein 1"
"200748_s_at"	"NM_002032"	"FTH1"	"ferritin, heavy polypeptide 1"
"200749_at"	"BF112006"	"RAN"	"RAN, member RAS oncogene family"
"200750_s_at"	"AF054183"	"RAN"	"RAN, member RAS oncogene family"
"200751_s_at"	"BE898861"	"HNRNPC"	"heterogeneous nuclear ribonucleoprotein C (C1/C2)"
"200752_s_at"	"NM_005186"	"CAPN1"	"calpain 1, (mu/I) large subunit"
"200753_x_at"	"BE866585"	"NA"	"NA"
"200754_x_at"	"NM_003016"	"NA"	"NA"
"200755_s_at"	"BF939365"	"CALU"	"calumenin"
"200756_x_at"	"U67280"	"CALU"	"calumenin"
"200757_s_at"	"NM_001219"	"CALU"	"calumenin"
"200758_s_at"	"AI361227"	"NFE2L1"	"nuclear factor, erythroid 2-like 1"
"200759_x_at"	"NM_003204"	"NFE2L1"	"nuclear factor, erythroid 2-like 1"
"200760_s_at"	"N92494"	"ARL6IP5"	"ADP-ribosylation factor-like 6 interacting protein 5"
"200761_s_at"	"NM_006407"	"ARL6IP5"	"ADP-ribosylation factor-like 6 interacting protein 5"
"200762_at"	"NM_001386"	"DPYSL2"	"dihydropyrimidinase-like 2"
"200763_s_at"	"NM_001003"	"RPLP1"	"ribosomal protein, large, P1"
"200764_s_at"	"AI826881"	"CTNNA1"	"catenin (cadherin-associated protein), alpha 1, 102kDa"
"200765_x_at"	"NM_001903"	"CTNNA1"	"catenin (cadherin-associated protein), alpha 1, 102kDa"
"200766_at"	"NM_001909"	"CTSD"	"cathepsin D"
"200767_s_at"	"NM_014612"	"FAM120A"	"family with sequence similarity 120A"
"200768_s_at"	"BC001686"	"MAT2A"	"methionine adenosyltransferase II, alpha"
"200769_s_at"	"NM_005911"	"MAT2A"	"methionine adenosyltransferase II, alpha"
"200770_s_at"	"J03202"	"LAMC1"	"laminin, gamma 1 (formerly LAMB2)"
"200771_at"	"NM_002293"	"LAMC1"	"laminin, gamma 1 (formerly LAMB2)"
"200772_x_at"	"BF686442"	"NA"	"NA"
"200773_x_at"	"NM_002823"	"PTMA"	"prothymosin, alpha"
"200774_at"	"BE963765"	"FAM120A"	"family with sequence similarity 120A"
"200775_s_at"	"BC000355"	"HNRNPK"	"heterogeneous nuclear ribonucleoprotein K"
"200776_s_at"	"AL518328"	"BZW1"	"basic leucine zipper and W2 domains 1"
"200777_s_at"	"NM_014670"	"BZW1"	"basic leucine zipper and W2 domains 1"
"200778_s_at"	"AI191427"	"SEPT2"	"septin 2"
"200779_at"	"NM_001675"	"ATF4"	"activating transcription factor 4"
"200780_x_at"	"NM_000516"	"GNAS"	"GNAS complex locus"
"200781_s_at"	"NM_001019"	"RPS15A"	"ribosomal protein S15a"
"200782_at"	"NM_001154"	"ANXA5"	"annexin A5"
"200783_s_at"	"NM_005563"	"STMN1"	"stathmin 1"
"200784_s_at"	"BF304759"	"LRP1"	"low density lipoprotein receptor-related protein 1"
"200785_s_at"	"NM_002332"	"LRP1"	"low density lipoprotein receptor-related protein 1"
"200786_at"	"NM_002799"	"PSMB7"	"proteasome subunit beta 7"
"200787_s_at"	"BC002426"	"PEA15"	"phosphoprotein enriched in astrocytes 15"
"200788_s_at"	"NM_003768"	"PEA15"	"phosphoprotein enriched in astrocytes 15"
"200789_at"	"NM_001398"	"ECH1"	"enoyl CoA hydratase 1, peroxisomal"
"200790_at"	"NM_002539"	"ODC1"	"ornithine decarboxylase 1"
"200791_s_at"	"NM_003870"	"IQGAP1"	"IQ motif containing GTPase activating protein 1"
"200792_at"	"NM_001469"	"XRCC6"	"X-ray repair complementing defective repair in Chinese hamster cells 6"
"200793_s_at"	"NM_001098"	"ACO2"	"aconitase 2, mitochondrial"
"200794_x_at"	"NM_014764"	"DAZAP2"	"DAZ associated protein 2"
"200795_at"	"NM_004684"	"SPARCL1"	"SPARC-like 1 (hevin)"
"200796_s_at"	"BF594446"	"MCL1"	"myeloid cell leukemia 1"
"200797_s_at"	"AI275690"	"MCL1"	"myeloid cell leukemia 1"
"200798_x_at"	"NM_021960"	"MCL1"	"myeloid cell leukemia 1"
"200799_at"	"NM_005345"	"NA"	"NA"
"200800_s_at"	"NM_005345"	"NA"	"NA"
"200801_x_at"	"NM_001101"	"ACTB"	"actin, beta"
"200802_at"	"NM_006513"	"SARS"	"seryl-tRNA synthetase"
"200803_s_at"	"AF033095"	"TMBIM6"	"transmembrane BAX inhibitor motif containing 6"
"200804_at"	"NM_003217"	"TMBIM6"	"transmembrane BAX inhibitor motif containing 6"
"200805_at"	"NM_006816"	"LMAN2"	"lectin, mannose-binding 2"
"200806_s_at"	"BE256479"	"HSPD1"	"heat shock 60kDa protein 1 (chaperonin)"
"200807_s_at"	"NM_002156"	"HSPD1"	"heat shock 60kDa protein 1 (chaperonin)"
"200808_s_at"	"NM_003461"	"ZYX"	"zyxin"
"200809_x_at"	"NM_000976"	"RPL12"	"ribosomal protein L12"
"200810_s_at"	"NM_001280"	"CIRBP"	"cold inducible RNA binding protein"
"200811_at"	"NM_001280"	"CIRBP"	"cold inducible RNA binding protein"
"200812_at"	"NM_006429"	"CCT7"	"chaperonin containing TCP1, subunit 7 (eta)"
"200813_s_at"	"BE256969"	"PAFAH1B1"	"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)"
